Model,R2,MAE,RMSE,MAPE
XGB-0.5h,0.9267829992,1.792445592,3.509507839,0.1599088828
XGB-0.5h,0.9191978993,1.857217673,3.750351597,0.162154712
XGB-0.5h,0.9199545522,1.849272706,3.70895823,0.1557205312
XGB-0.5h,0.935545563,1.703502913,3.323618157,0.1603415663
XGB-0.5h,0.9251230451,1.779231744,3.595800303,0.159212307
XGB-0.5h,0.9202732041,1.825906399,3.602778421,0.160030858
XGB-0.5h,0.9284896079,1.814937985,3.54485267,0.1625238488
XGB-0.5h,0.9270948839,1.801632575,3.597474972,0.1593961934
XGB-0.5h,0.9281821871,1.794414991,3.544353533,0.1679945891
XGB-0.5h,0.9196136564,1.846863591,3.665139496,0.162848682
XGB-0.5h,0.9236398701,1.815547435,3.653444875,0.1574225002
XGB-0.5h,0.9245025178,1.820164902,3.661336489,0.1589381105
XGB-0.5h,0.9302124287,1.737883562,3.428514858,0.1529242167
XGB-0.5h,0.9220443255,1.79728044,3.59933866,0.1637496065
XGB-0.5h,0.9195597592,1.895314705,3.71090103,0.168085797
XGB-0.5h,0.9198956921,1.819147549,3.717715695,0.1602950252
XGB-0.5h,0.9251258851,1.853714187,3.587837616,0.1701599498
XGB-0.5h,0.9179876861,1.828458228,3.672534571,0.1621052679
XGB-0.5h,0.9287646633,1.835591416,3.504045822,0.1685911851
XGB-0.5h,0.9282156993,1.821334141,3.563467072,0.1636684882
XGB-1h,0.9145647652,1.849700744,3.753862539,0.1647337599
XGB-1h,0.924864422,1.794583958,3.621839817,0.1541010997
XGB-1h,0.9197714492,1.886551426,3.730913909,0.1661449409
XGB-1h,0.9228478874,1.834393824,3.634616243,0.1565341468
XGB-1h,0.9163195978,1.898252636,3.788355055,0.1643792413
XGB-1h,0.9190798204,1.878459094,3.693130609,0.1691860402
XGB-1h,0.9195090516,1.916261879,3.72177372,0.171722811
XGB-1h,0.9237441076,1.857285951,3.686874196,0.1593829194
XGB-1h,0.9226581624,1.80252947,3.624330297,0.1601768756
XGB-1h,0.9102129163,1.912715763,3.872534531,0.1667171172
XGB-1h,0.9140389258,1.878882685,3.799350489,0.1653305965
XGB-1h,0.923447632,1.864898562,3.616631808,0.168222311
XGB-1h,0.9137142422,1.931758285,3.841472541,0.1660123614
XGB-1h,0.922112852,1.850202055,3.695032688,0.1599776862
XGB-1h,0.9207984705,1.825055143,3.676812968,0.1610525558
XGB-1h,0.9250026006,1.806378059,3.51062057,0.1642156108
XGB-1h,0.9212374343,1.841584412,3.687965385,0.1559288843
XGB-1h,0.9171643571,1.881071161,3.706874171,0.1637704052
XGB-1h,0.9256773866,1.806571861,3.613565702,0.1632046336
XGB-1h,0.9111810508,1.914369407,3.966233195,0.1625440267
XGB-2h,0.9245592871,1.810049935,3.544444257,0.1651921703
XGB-2h,0.9170987071,1.869339517,3.722384003,0.1606618499
XGB-2h,0.9214414487,1.838354178,3.682004138,0.1664703665
XGB-2h,0.9290671363,1.868336809,3.583432824,0.1637453423
XGB-2h,0.9284069519,1.76812579,3.496196707,0.1597814527
XGB-2h,0.930784377,1.769993825,3.47200956,0.1574616327
XGB-2h,0.9212453313,1.859393831,3.695123164,0.164134609
XGB-2h,0.9278197317,1.745205235,3.441080099,0.1546825063
XGB-2h,0.9207169857,1.779342291,3.693582073,0.1552391517
XGB-2h,0.9299776549,1.780442727,3.495731277,0.1568073858
XGB-2h,0.9288744599,1.80238075,3.464046255,0.1629729118
XGB-2h,0.9151591197,1.872022228,3.836933272,0.1624119142
XGB-2h,0.9289812806,1.816539793,3.511868632,0.1660975492
XGB-2h,0.9293790864,1.761978155,3.534876805,0.1566716328
XGB-2h,0.9191271642,1.848490616,3.656844336,0.1600467217
XGB-2h,0.9270138898,1.78851535,3.507760903,0.1608182991
XGB-2h,0.9260724158,1.790046673,3.568161541,0.1551216944
XGB-2h,0.9237266409,1.828968582,3.657467827,0.1610506181
XGB-2h,0.9170166168,1.848376652,3.85941359,0.1612305393
XGB-2h,0.923763934,1.777943441,3.518834661,0.1603895707
CART-0.5h,0.8444811917,1.960179688,5.153794819,0.1220936246
CART-0.5h,0.8369463778,2.023417224,5.281652173,0.1270899279
CART-0.5h,0.836245609,2.002121942,5.361645659,0.1239792673
CART-0.5h,0.8241924198,2.037673952,5.500959582,0.1212808138
CART-0.5h,0.8427628363,1.938857923,5.149597296,0.1196877597
CART-0.5h,0.8523794531,1.867706138,4.990767489,0.1157535585
CART-0.5h,0.8259092625,2.06260022,5.447986308,0.1253735948
CART-0.5h,0.8373106568,1.983571774,5.275539923,0.120752429
CART-0.5h,0.8440142396,2.018840945,5.257393878,0.1276036413
CART-0.5h,0.8277892177,2.018957257,5.422354405,0.1260436919
CART-0.5h,0.8413514351,2.002022249,5.277797234,0.1271257191
CART-0.5h,0.8340180086,2.006545698,5.321498969,0.1250997051
CART-0.5h,0.830368364,1.989017788,5.401809305,0.1176046484
CART-0.5h,0.8319761138,2.065723692,5.378692299,0.1313847299
CART-0.5h,0.8253352371,2.057294812,5.414239374,0.1259886213
CART-0.5h,0.827885665,2.012180057,5.378927227,0.1237096852
CART-0.5h,0.8476026031,1.910597575,5.109722124,0.120314113
CART-0.5h,0.8351073443,2.016679245,5.279865551,0.1258232731
CART-0.5h,0.8348678682,2.024614883,5.368268185,0.1255558416
CART-0.5h,0.8370054623,2.030466852,5.343914458,0.1236262603
CART-1h,0.8123875839,2.233040265,5.729476198,0.1344688421
CART-1h,0.8382105126,2.032122736,5.258012958,0.1310363512
CART-1h,0.8220641249,2.032724343,5.391137471,0.1224589474
CART-1h,0.8386000882,2.040569106,5.35952365,0.1262187863
CART-1h,0.8362657775,2.031996987,5.254790738,0.1308316018
CART-1h,0.8169375822,2.108248567,5.61508016,0.1299187323
CART-1h,0.8410792727,1.9936895,5.146542527,0.125178268
CART-1h,0.83356292,2.065861149,5.371140068,0.1242578991
CART-1h,0.8431075227,1.986444165,5.196276477,0.1239644563
CART-1h,0.8270012543,2.083281364,5.446815467,0.1295422984
CART-1h,0.8180805083,2.098334196,5.546404192,0.127675354
CART-1h,0.834202163,2.05280118,5.300485667,0.1253101735
CART-1h,0.8290060318,2.082930082,5.415129403,0.1290335896
CART-1h,0.8327594741,2.083513413,5.416086131,0.1313741548
CART-1h,0.830122499,2.047201808,5.379896974,0.1273766348
CART-1h,0.8493442527,1.958776392,5.022872208,0.1260513012
CART-1h,0.8192136236,2.129863632,5.598402252,0.1298172227
CART-1h,0.8282934618,2.020392266,5.303340564,0.1261308222
CART-1h,0.8220250831,2.111652944,5.614131467,0.1302438059
CART-1h,0.8307921098,2.113102663,5.425436003,0.1275106598
CART-2h,0.8355805573,1.998577635,5.261217,0.1250745218
CART-2h,0.8409974956,2.093566745,5.402029865,0.1258748068
CART-2h,0.8267727078,2.054946318,5.380139062,0.1278485837
CART-2h,0.82293812,2.089792506,5.454699915,0.1302109327
CART-2h,0.8214142455,2.114051286,5.524327041,0.1275588109
CART-2h,0.8268827707,2.124344115,5.478491052,0.1295893557
CART-2h,0.8301084188,2.051219381,5.316173071,0.1288687133
CART-2h,0.831243918,2.024274564,5.408935151,0.1200115653
CART-2h,0.8262025633,2.074213805,5.440374957,0.1272281925
CART-2h,0.8275851437,2.140982167,5.487841308,0.1364068979
CART-2h,0.8399750082,1.972125572,5.234793491,0.1247975557
CART-2h,0.8175730066,2.13829268,5.605309,0.1303503059
CART-2h,0.8314213617,2.056051845,5.277065675,0.1259410016
CART-2h,0.8296817991,2.076287697,5.382080741,0.1309078079
CART-2h,0.8116488899,2.198710503,5.810256887,0.1309976006
CART-2h,0.8347740404,1.96841942,5.246646713,0.1180476377
CART-2h,0.8311020414,2.032330736,5.370614162,0.1254802978
CART-2h,0.824984336,2.107960201,5.495092623,0.128718381
CART-2h,0.8267608599,2.13583415,5.433806497,0.13522995
CART-2h,0.8248937428,2.134910574,5.578582507,0.1319528791
RF-0.5h,0.8878082974,1.629340989,4.417318115,0.09623820489
RF-0.5h,0.8816227588,1.656268923,4.45558242,0.09645271208
RF-0.5h,0.8860662075,1.651558376,4.372098967,0.09760151754
RF-0.5h,0.8881088137,1.655061418,4.420411953,0.09697373722
RF-0.5h,0.8898856407,1.604821127,4.379332921,0.09650892588
RF-0.5h,0.8832708431,1.632782429,4.459175696,0.09335670538
RF-0.5h,0.8905774441,1.60098911,4.370882328,0.09255230487
RF-0.5h,0.8867183522,1.638869096,4.396177572,0.09573148438
RF-0.5h,0.8851316051,1.639751437,4.427033026,0.09732902644
RF-0.5h,0.8871062305,1.667875647,4.407202961,0.102837367
RF-0.5h,0.8841095919,1.628522637,4.37792481,0.0945368645
RF-0.5h,0.8878026994,1.584965454,4.33583673,0.09122077997
RF-0.5h,0.8871163371,1.623889958,4.381179051,0.09822256258
RF-0.5h,0.8867461677,1.689036222,4.472139576,0.09861763768
RF-0.5h,0.8908046753,1.64794656,4.414489645,0.09913976236
RF-0.5h,0.8928580737,1.615250059,4.294954397,0.09676678593
RF-0.5h,0.8993951283,1.553307975,4.134875877,0.09512569713
RF-0.5h,0.8878768181,1.614321695,4.320952868,0.09283847832
RF-0.5h,0.8767915177,1.692227107,4.622595172,0.09551431669
RF-0.5h,0.883907398,1.664207108,4.521890015,0.1002419939
RF-1h,0.886046843,1.710231927,4.362417589,0.1024720692
RF-1h,0.8805159531,1.713113579,4.459997911,0.1009045436
RF-1h,0.870269626,1.79219371,4.814978265,0.104579232
RF-1h,0.8852010921,1.697333678,4.374182253,0.1007611948
RF-1h,0.8727235943,1.73623023,4.744619059,0.09801194129
RF-1h,0.8843565344,1.696988777,4.464994687,0.1007114611
RF-1h,0.8812311156,1.752577713,4.571114887,0.1042673726
RF-1h,0.877820718,1.753775029,4.631652239,0.09942034321
RF-1h,0.8760376844,1.697967884,4.578460024,0.09866970297
RF-1h,0.8795940569,1.708544551,4.426866459,0.1016414089
RF-1h,0.885987893,1.622352738,4.370386993,0.09643158414
RF-1h,0.8818881909,1.681014194,4.43700909,0.09769207096
RF-1h,0.8781488492,1.776645303,4.58609265,0.1027521251
RF-1h,0.8733865838,1.794842148,4.697396292,0.1039289521
RF-1h,0.8764725319,1.766807412,4.64298674,0.1050073384
RF-1h,0.8871926584,1.750001982,4.510738818,0.1036730752
RF-1h,0.8806333698,1.684175856,4.481424185,0.1009946849
RF-1h,0.892427793,1.642769276,4.289103179,0.09911713936
RF-1h,0.8673634038,1.759346888,4.709598461,0.1005500483
RF-1h,0.8683038495,1.795435902,4.715946803,0.1026050226
RF-2h,0.8704348402,1.750621824,4.640456799,0.1013637976
RF-2h,0.8741729539,1.748077761,4.582941143,0.1050915794
RF-2h,0.8797178765,1.717190936,4.572772577,0.1006303085
RF-2h,0.8791073119,1.731742467,4.634776538,0.098316478
RF-2h,0.8743547034,1.788556747,4.66755447,0.1051083857
RF-2h,0.8722338524,1.728704688,4.638504395,0.1030858959
RF-2h,0.8765135806,1.725470238,4.574918327,0.1017365339
RF-2h,0.8786580679,1.715511494,4.493209413,0.1007988862
RF-2h,0.8750577276,1.76207864,4.6984105,0.1017811903
RF-2h,0.876337606,1.785537767,4.680105769,0.1020155742
RF-2h,0.8703807333,1.742692569,4.643604312,0.103757586
RF-2h,0.8725951343,1.751737468,4.64845513,0.1022527259
RF-2h,0.8788016368,1.785817254,4.580372352,0.1057947326
RF-2h,0.8757902325,1.754182254,4.657944025,0.09834716486
RF-2h,0.8750176456,1.732814917,4.667580892,0.1005926945
RF-2h,0.8753270027,1.727932042,4.564827047,0.101182146
RF-2h,0.8724190198,1.752685024,4.611239017,0.1020065325
RF-2h,0.8843842079,1.693435534,4.465701455,0.1018421126
RF-2h,0.8738660777,1.767417632,4.692310999,0.1003628667
RF-2h,0.8731410395,1.791062592,4.741722055,0.1039656588